unix_time_s,voltage_a0,voltage_a3
1776087246.753625,1.434400,1.015400
1776087246.758617,1.197300,1.002000
1776087246.763619,1.679200,1.011100
1776087246.768629,1.855300,1.021800
1776087246.773638,1.426200,1.014800
1776087246.778628,1.189300,1.002000
1776087246.783626,1.674000,1.009900
1776087246.792405,1.854700,1.021200
1776087246.796021,1.425600,1.014800
1776087246.798802,1.190300,1.002300
1776087246.803621,1.674600,1.010200
1776087246.808652,1.857700,1.021800
1776087246.813625,1.428600,1.014800
1776087246.818632,1.195800,1.002600
1776087246.823621,1.679500,1.010500
1776087246.828640,1.862600,1.022100
1776087246.833625,1.433200,1.014800
1776087246.842485,1.198200,1.002000
1776087246.846169,1.681600,1.010200
1776087246.848965,1.862300,1.022100
1776087246.853630,1.433200,1.014800
1776087246.858623,1.195400,1.002600
1776087246.863620,1.678600,1.010500
1776087246.868629,1.862600,1.021800
1776087246.873629,1.432900,1.014800
1776087246.878629,1.199400,1.002300
1776087246.883612,1.684100,1.010200
1776087246.888941,1.872700,1.022400
1776087246.895453,1.441400,1.014800
1776087246.898675,1.205500,1.003200
1776087246.903614,1.687400,1.010500
1776087246.908623,1.871100,1.022100
1776087246.913621,1.440200,1.014800
1776087246.918619,1.200900,1.002600
1776087246.923609,1.679500,1.010800
1776087246.928619,1.858600,1.022700
1776087246.933621,1.428600,1.015100
1776087246.938844,1.185700,1.002300
1776087246.945875,1.668500,1.010200
1776087246.948646,1.845800,1.021800
1776087246.953620,1.417000,1.013900
1776087246.958621,1.171600,1.002000
1776087246.963627,1.655700,1.009600
1776087246.968634,1.826900,1.021200
1776087246.973631,1.401100,1.014800
1776087246.978631,1.149400,1.001300
1776087246.983625,1.633700,1.009300
1776087246.992347,1.798800,1.020900
1776087246.995819,1.375800,1.013900
1776087246.998964,1.124900,1.000700
1776087247.003631,1.613300,1.008700
1776087247.008616,1.780800,1.020300
1776087247.013630,1.362100,1.013200
1776087247.018618,1.111800,0.996800
1776087247.023628,1.602000,1.005600
1776087247.028632,1.768300,1.011100
1776087247.033628,1.352300,1.005300
1776087247.038929,1.105700,0.995800
1776087247.045676,1.598900,1.003800
1776087247.048721,1.773500,1.009900
1776087247.053631,1.356000,1.005000
1776087247.058640,1.109400,0.995200
1776087247.063628,1.602900,1.005600
1776087247.068623,1.777800,1.018100
1776087247.073620,1.359900,1.008700
1776087247.078619,1.114300,0.998300
1776087247.083629,1.608700,1.007100
1776087247.092465,1.785700,1.019300
1776087247.095952,1.369100,1.013200
1776087247.099108,1.130700,1.000700
1776087247.103624,1.620600,1.008700
1776087247.108620,1.805200,1.020300
1776087247.113617,1.387100,1.014200
1776087247.118616,1.149700,1.001600
1776087247.123628,1.639800,1.009600
1776087247.128624,1.826900,1.020900
1776087247.133618,1.406000,1.014500
1776087247.139723,1.163100,1.002300
1776087247.145642,1.650200,1.009600
1776087247.148630,1.836400,1.021200
1776087247.153630,1.411800,1.014500
1776087247.158624,1.170400,1.002000
1776087247.163617,1.657500,1.010200
1776087247.168624,1.847000,1.021200
1776087247.173626,1.420400,1.014800
1776087247.178627,1.179000,1.002000
1776087247.183632,1.663600,1.009900
1776087247.192161,1.852500,1.021800
1776087247.195668,1.426500,1.014500
1776087247.199328,1.185100,1.001600
1776087247.203635,1.667900,1.009900
1776087247.208628,1.858300,1.021500
1776087247.213623,1.430400,1.014800
1776087247.218625,1.188100,1.002300
1776087247.223633,1.670300,1.010200
1776087247.228693,1.856500,1.021800
1776087247.233652,1.428600,1.015400
1776087247.239456,1.180200,1.002000
1776087247.246666,1.662700,1.010500
1776087247.249771,1.846700,1.021800
1776087247.253621,1.419500,1.014500
1776087247.258627,1.173500,1.001600
1776087247.263625,1.657500,1.009600
1776087247.268632,1.841800,1.020900
1776087247.273657,1.415800,1.014500
